Country Name	Country Code	Series Name	Series Code	2016 [YR2016]
Israel	ISR	Male population 00-04	SP.POP.0004.MA	450618
Israel	ISR	Male population 05-09	SP.POP.0509.MA	407626
Israel	ISR	Male population 10-14	SP.POP.1014.MA	366575
Israel	ISR	Male population 15-19	SP.POP.1519.MA	340212
Israel	ISR	Male population 20-24	SP.POP.2024.MA	310049
Israel	ISR	Male population 25-29	SP.POP.2529.MA	298793
Israel	ISR	Male population 30-34	SP.POP.3034.MA	292945
Israel	ISR	Male population 35-39	SP.POP.3539.MA	286558
Israel	ISR	Male population 40-44	SP.POP.4044.MA	266198
Israel	ISR	Male population 45-49	SP.POP.4549.MA	225227
Israel	ISR	Male population 50-54	SP.POP.5054.MA	199895
Israel	ISR	Male population 55-59	SP.POP.5559.MA	180779
Israel	ISR	Male population 60-64	SP.POP.6064.MA	182411
Israel	ISR	Male population 65-69	SP.POP.6569.MA	160500
Israel	ISR	Male population 70-74	SP.POP.7074.MA	101370
Israel	ISR	Male population 75-79	SP.POP.7579.MA	70392
Israel	ISR	Male population 80+	SP.POP.80UP.MA	101509
Brazil	BRA	Female population 00-04	SP.POP.0004.FE	7287053
Brazil	BRA	Female population 05-09	SP.POP.0509.FE	7328729
Brazil	BRA	Female population 10-14	SP.POP.1014.FE	7883966
Brazil	BRA	Female population 15-19	SP.POP.1519.FE	8488237
Brazil	BRA	Female population 20-24	SP.POP.2024.FE	8496082
Brazil	BRA	Female population 25-29	SP.POP.2529.FE	8629942
Brazil	BRA	Female population 30-34	SP.POP.3034.FE	8875898
Brazil	BRA	Female population 35-39	SP.POP.3539.FE	8286595
Brazil	BRA	Female population 40-44	SP.POP.4044.FE	7372493
Brazil	BRA	Female population 45-49	SP.POP.4549.FE	6866447
Brazil	BRA	Female population 50-54	SP.POP.5054.FE	6400458
Brazil	BRA	Female population 60-64	SP.POP.6064.FE	4437498
Brazil	BRA	Female population 55-59	SP.POP.5559.FE	5411748
Brazil	BRA	Female population 65-69	SP.POP.6569.FE	3404547
Brazil	BRA	Female population 70-74	SP.POP.7074.FE	2428685
Brazil	BRA	Female population 75-79	SP.POP.7579.FE	1813924
Brazil	BRA	Female population 80+	SP.POP.80UP.FE	2157447
Brazil	BRA	Male population 00-04	SP.POP.0004.MA	7631506
Brazil	BRA	Male population 05-09	SP.POP.0509.MA	7641068
Brazil	BRA	Male population 10-14	SP.POP.1014.MA	8194195
Brazil	BRA	Male population 15-19	SP.POP.1519.MA	8785263
Brazil	BRA	Male population 20-24	SP.POP.2024.MA	8718343
Brazil	BRA	Male population 25-29	SP.POP.2529.MA	8743713
Brazil	BRA	Male population 30-34	SP.POP.3034.MA	8860313
Brazil	BRA	Male population 35-39	SP.POP.3539.MA	8134603
Brazil	BRA	Male population 40-44	SP.POP.4044.MA	7068135
Brazil	BRA	Male population 45-49	SP.POP.4549.MA	6413559
Brazil	BRA	Male population 50-54	SP.POP.5054.MA	5856502
Brazil	BRA	Male population 55-59	SP.POP.5559.MA	4850603
Brazil	BRA	Male population 60-64	SP.POP.6064.MA	3863955
Brazil	BRA	Male population 65-69	SP.POP.6569.MA	2842953
Brazil	BRA	Male population 70-74	SP.POP.7074.MA	1910931
Brazil	BRA	Male population 75-79	SP.POP.7579.MA	1309045
Brazil	BRA	Male population 80+	SP.POP.80UP.MA	1258424
Canada	CAN	Female population 00-04	SP.POP.0004.FE	938747
Canada	CAN	Female population 05-09	SP.POP.0509.FE	971894
Canada	CAN	Female population 10-14	SP.POP.1014.FE	912089
Canada	CAN	Female population 15-19	SP.POP.1519.FE	1007324
Canada	CAN	Female population 20-24	SP.POP.2024.FE	1212080
Canada	CAN	Female population 25-29	SP.POP.2529.FE	1232865
Canada	CAN	Female population 30-34	SP.POP.3034.FE	1274048
Canada	CAN	Female population 35-39	SP.POP.3539.FE	1220325
Canada	CAN	Female population 40-44	SP.POP.4044.FE	1180080
Canada	CAN	Female population 45-49	SP.POP.4549.FE	1184813
Canada	CAN	Female population 50-54	SP.POP.5054.FE	1366885
Canada	CAN	Female population 60-64	SP.POP.6064.FE	1168719
Canada	CAN	Female population 55-59	SP.POP.5559.FE	1339438
Canada	CAN	Female population 65-69	SP.POP.6569.FE	1010533
Canada	CAN	Female population 70-74	SP.POP.7074.FE	758198
Canada	CAN	Female population 75-79	SP.POP.7579.FE	551586
Canada	CAN	Female population 80+	SP.POP.80UP.FE	944528
Canada	CAN	Male population 00-04	SP.POP.0004.MA	988450
Canada	CAN	Male population 05-09	SP.POP.0509.MA	1017622
Canada	CAN	Male population 10-14	SP.POP.1014.MA	962938
Canada	CAN	Male population 15-19	SP.POP.1519.MA	1066534
Canada	CAN	Male population 20-24	SP.POP.2024.MA	1265943
Canada	CAN	Male population 25-29	SP.POP.2529.MA	1248531
Canada	CAN	Male population 30-34	SP.POP.3034.MA	1269746
Canada	CAN	Male population 35-39	SP.POP.3539.MA	1208065
Canada	CAN	Male population 40-44	SP.POP.4044.MA	1175038
Canada	CAN	Male population 45-49	SP.POP.4549.MA	1193666
Canada	CAN	Male population 50-54	SP.POP.5054.MA	1376623
Canada	CAN	Male population 55-59	SP.POP.5559.MA	1341126
Canada	CAN	Male population 60-64	SP.POP.6064.MA	1130878
Canada	CAN	Male population 65-69	SP.POP.6569.MA	971499
Canada	CAN	Male population 70-74	SP.POP.7074.MA	694180
Canada	CAN	Male population 75-79	SP.POP.7579.MA	468595
Canada	CAN	Male population 80+	SP.POP.80UP.MA	611019
Mexico	MEX	Female population 00-04	SP.POP.0004.FE	5659315
Mexico	MEX	Female population 05-09	SP.POP.0509.FE	5566149
Mexico	MEX	Female population 10-14	SP.POP.1014.FE	5650095
Mexico	MEX	Female population 15-19	SP.POP.1519.FE	5800999
Mexico	MEX	Female population 20-24	SP.POP.2024.FE	5606726
Mexico	MEX	Female population 25-29	SP.POP.2529.FE	5274726
Mexico	MEX	Female population 30-34	SP.POP.3034.FE	4914320
Mexico	MEX	Female population 35-39	SP.POP.3539.FE	4747457
Mexico	MEX	Female population 40-44	SP.POP.4044.FE	4674569
Mexico	MEX	Female population 45-49	SP.POP.4549.FE	3807748
Mexico	MEX	Female population 50-54	SP.POP.5054.FE	3073076
Mexico	MEX	Female population 60-64	SP.POP.6064.FE	2116522
Mexico	MEX	Female population 55-59	SP.POP.5559.FE	2559752
Mexico	MEX	Female population 65-69	SP.POP.6569.FE	1481414
Mexico	MEX	Female population 70-74	SP.POP.7074.FE	1127743
Mexico	MEX	Female population 75-79	SP.POP.7579.FE	798659
Mexico	MEX	Female population 80+	SP.POP.80UP.FE	1179650
Mexico	MEX	Male population 00-04	SP.POP.0004.MA	5921940
Mexico	MEX	Male population 05-09	SP.POP.0509.MA	5806630
Mexico	MEX	Male population 10-14	SP.POP.1014.MA	5933902
Mexico	MEX	Male population 15-19	SP.POP.1519.MA	5964090
Mexico	MEX	Male population 20-24	SP.POP.2024.MA	5766130
Mexico	MEX	Male population 25-29	SP.POP.2529.MA	5411829
Mexico	MEX	Male population 30-34	SP.POP.3034.MA	4960367
Mexico	MEX	Male population 35-39	SP.POP.3539.MA	4678523
Mexico	MEX	Male population 40-44	SP.POP.4044.MA	4502636
Mexico	MEX	Male population 45-49	SP.POP.4549.MA	3559949
Mexico	MEX	Male population 50-54	SP.POP.5054.MA	2818468
Mexico	MEX	Male population 55-59	SP.POP.5559.MA	2338329
Mexico	MEX	Male population 60-64	SP.POP.6064.MA	1936606
Mexico	MEX	Male population 65-69	SP.POP.6569.MA	1386986
Mexico	MEX	Male population 70-74	SP.POP.7074.MA	1023702
Mexico	MEX	Male population 75-79	SP.POP.7579.MA	688219
Mexico	MEX	Male population 80+	SP.POP.80UP.MA	803204
Sweden	SWE	Female population 00-04	SP.POP.0004.FE	286866
Sweden	SWE	Female population 05-09	SP.POP.0509.FE	289793
Sweden	SWE	Female population 10-14	SP.POP.1014.FE	263628
Sweden	SWE	Female population 15-19	SP.POP.1519.FE	242296
Sweden	SWE	Female population 20-24	SP.POP.2024.FE	333652
Sweden	SWE	Female population 25-29	SP.POP.2529.FE	339812
Sweden	SWE	Female population 30-34	SP.POP.3034.FE	307338
Sweden	SWE	Female population 35-39	SP.POP.3539.FE	295640
Sweden	SWE	Female population 40-44	SP.POP.4044.FE	318722
Sweden	SWE	Female population 45-49	SP.POP.4549.FE	338535
Sweden	SWE	Female population 50-54	SP.POP.5054.FE	315621
Sweden	SWE	Female population 60-64	SP.POP.6064.FE	274295
Sweden	SWE	Female population 55-59	SP.POP.5559.FE	293927
Sweden	SWE	Female population 65-69	SP.POP.6569.FE	304344
Sweden	SWE	Female population 70-74	SP.POP.7074.FE	258120
Sweden	SWE	Female population 75-79	SP.POP.7579.FE	184974
Sweden	SWE	Female population 80+	SP.POP.80UP.FE	312657
Sweden	SWE	Male population 00-04	SP.POP.0004.MA	301908
Sweden	SWE	Male population 05-09	SP.POP.0509.MA	306876
Sweden	SWE	Male population 10-14	SP.POP.1014.MA	277502
Sweden	SWE	Male population 15-19	SP.POP.1519.MA	259473
Sweden	SWE	Male population 20-24	SP.POP.2024.MA	351187
Sweden	SWE	Male population 25-29	SP.POP.2529.MA	353839
Sweden	SWE	Male population 30-34	SP.POP.3034.MA	322146
Sweden	SWE	Male population 35-39	SP.POP.3539.MA	307997
Sweden	SWE	Male population 40-44	SP.POP.4044.MA	327973
